JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Fri May 05 2023 23:38:53 GMT-0700 (Pacific Daylight Time)
ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B00014UISE","Atlas Ultra-Lubed Condoms 24 Pack","Atlas","Health & Household","N.A.","N.A.","$8.67","$4.23","$4.44","282","50","3","3","12/18/2003","Amazon","4.2","1.50"" x 3.50"" x 8.50""","Large standard-size","0.1499 lbs"
"B099FCNB7C","ATTRACO Women's Butt Lift Yoga Leggings with Pockets High Waist Tummy Control Workout Yoga Pants","ATTRACO","Sports & Outdoors","$659.70","30","$20.99","$3.30","$17.69","1,310","25","6","1","07/13/2021","ATTRACO","4.6","10.00"" x 6.00"" x 1.00""","Standard (Large)","0.4 lbs"
"B072R17FM9","ATU-21DS - Vertex Standard Super Stubby Antenna 440-460 MHz AAM28X003-2"" Overall Height","Vertex Standard","Electronics","< $14.99","< 5","$14.99","$4.12","$10.87","1,563","3","3","1","06/12/2017","Amazon","3.5","4.02"" x 2.28"" x 0.31""","Small standard-size","0.02 lbs"
"B09LMRZLL3","ATYSKEN Body Stocking Women’s Sexy Lingerie with Fishnet Design Nightwear Lady’s Bodysuit for Cosplay Club and Party","ATYSKEN","Clothing, Shoes & Jewelry","$119,060.70","9,930","$11.99","$5.31","$6.68","668","42","7","1","11/10/2021","Sexy-Girl","4.4","0.71"" x 5.94"" x 9.02""","Small standard-size","0.1323 lbs"
"B01081CORM","Audicom H201CSB Binaural Call Center Headset Headphone with Mic for Cisco Unified Telephone IP Phones 7931G 7940 7941 7942 7945 7960 7961 7962 7965 7970 and Plantronics M10 MX10 Vista Modular Adapters","Audicom","Electronics","N.A.","N.A.","$31.99","$4.80","$27.19","1,266","34","7","1","06/22/2015","Vanstalk inc","4","2.05"" x 5.67"" x 6.93""","Standard (Large)","0.399 lbs"
"B011O2JG98","Audicom PC Headset Adapter Computer Stereo Dual 3.5mm to Rj9/Rj10 Phone Jack Converter for Cisco Unified Telephone IP Phones 7931G 7940 7941 7942 and Plantronics MX10 Vista Modular Adapters(PC35-CSB)","Audicom","Electronics","N.A.","N.A.","$11.99","$4.30","$7.69","1,774","3","5","1","07/14/2015","Audicom","3.8","0.00"" x 0.00"" x 0.00""","Standard (Small)","0.02 lbs"
"B007QUYV7U","Audiopipe Marine - Model#: APMR100ANT","Audiopipe","Electronics","N.A.","N.A.","$7.99","$3.56","$4.43","134","22","3","3","04/01/2012","Audiopipe USA","4.8","6.97"" x 2.80"" x 0.71""","Small standard-size","0.08 lbs"
"B01MZWHLA0","AudioQuest - HDMI Noise-Stopper Caps (Set of 4)","AudioQuest","Electronics","$179.70","6","$29.95","$5.32","$24.63","83","27","3","4","01/04/2017","Amazon","4.7","0.71"" x 2.91"" x 8.35""","Small standard-size","0.0441 lbs"
"B0057FK8RS","AudioQuest Direct-Silver Plated PSC BiWire Jumpers (Set of 4)","AudioQuest","Electronics","< $89.85","< 5","$29.95","$5.32","$24.63","415","22","3","2","06/21/2011","GRAMOPHONE","3.9","0.59"" x 3.35"" x 7.01""","Small standard-size","0.022 lbs"
"B01MSQB6NR","AudioQuest RJ45 Noise-Stopper","AudioQuest","Electronics","$658.90","22","$29.95","$5.32","$24.63","100","20","2","3","04/16/2017","Amazon","4.8","0.71"" x 2.91"" x 8.35""","Small standard-size","0.0441 lbs"
